episode,sum q_values,average q_values
716,681.574,1.363148
717,863.59143,1.7271824
718,813.4387,1.626877
719,587.83484,1.1756696
720,698.4638,1.3969274
721,1252.8618,2.505724
722,1468.0928,2.936186
723,1005.8912,2.0117824
724,1132.8418,2.2656834
725,1136.0731,2.272146
726,1288.4205,2.5768409
727,1087.132,2.1742637
728,1078.9775,2.1579554
729,906.89636,1.8137928
730,920.0489,1.840098
731,1268.6238,2.5372484
732,807.0956,1.6141913
733,1084.8354,2.1696713
734,1196.742,2.3934844
735,1084.2051,2.1684105
736,827.23865,1.6544772
737,1740.2303,3.4804602
738,1752.7434,3.5054872
739,1007.52637,2.015053
740,1446.384,2.892768
741,1480.0813,2.9601626
742,1151.4874,2.302975
743,1252.2686,2.5045378
744,1212.6085,2.4252172
745,1083.0735,2.166147
746,1790.6884,3.5813768
747,871.1973,1.7423946
748,1329.0149,2.6580296
749,1074.745,2.1494899
750,1031.5696,2.0631387
751,1189.0902,2.3781807
752,1640.1243,3.2802482
753,2063.3276,4.126656
754,2046.3035,4.092606
755,2015.6515,4.031303
756,1556.0156,3.1120312
757,1561.2261,3.122452
758,1201.3057,2.4026113
759,1943.1909,3.8863823
760,1793.5656,3.5871308
761,2010.0847,4.0201697
762,1272.6138,2.5452275
763,1572.1018,3.144204
764,2244.4834,4.488967
765,2224.1062,4.4482136
766,1869.0752,3.73815
767,2103.1929,4.206385
768,2326.0767,4.652153
769,1981.3667,3.9627333
770,1731.9536,3.463907
771,1764.1719,3.5283437
772,2254.687,4.509374
773,1669.2117,3.3384225
774,1651.2478,3.302495
775,1693.6998,3.3873994
776,1737.356,3.474712
777,1733.2473,3.4664948
778,2021.2015,4.0424027
779,1931.0308,3.8620613
780,1926.4534,3.8529065
781,2145.8467,4.291693
782,1867.7157,3.7354317
783,2059.4165,4.118833
784,2404.7407,4.8094807
785,2450.7974,4.901594
786,1952.7175,3.9054353
787,2211.5667,4.423134
788,1736.2954,3.47259
789,1807.7449,3.6154897
790,2286.128,4.572256
791,2117.2017,4.234403
792,1925.907,3.8518147
793,2087.455,4.174911
794,1957.6545,3.91531
795,1813.6775,3.6273553
796,2249.6238,4.4992485
797,2152.1018,4.3042045
798,2276.1355,4.5522714
799,1663.9641,3.3279288
800,1902.0127,3.8040252
801,2348.7827,4.697566
802,2110.7937,4.221587
803,2066.4517,4.132903
804,2299.207,4.5984135
805,2026.3989,4.052797
806,1978.154,3.9563081
807,2081.3145,4.1626287
808,2025.6104,4.051222
809,1985.7123,3.9714253
810,2192.491,4.3849816
811,1942.6106,3.8852215
812,2076.2544,4.1525087
813,2234.349,4.4686985
814,2131.6077,4.2632155
815,2374.6345,4.749269
816,2133.0688,4.266138
817,2097.7874,4.1955743
818,2061.716,4.123432
819,2094.888,4.1897764
820,2070.2607,4.1405215
821,1854.0212,3.7080421
822,2156.0908,4.312182
823,2240.9668,4.4819336
824,2187.7312,4.3754616
825,2159.124,4.3182487
826,2443.1362,4.886273
827,2484.156,4.9683113
828,2215.6821,4.4313636
829,2288.5186,4.5770373
830,2223.411,4.446822
831,2272.0808,4.544161
832,2570.6973,5.1413946
833,2191.2024,4.3824043
834,2236.1035,4.472207
835,2432.1316,4.8642635
836,2482.2783,4.9645567
837,2511.066,5.0221324
838,2826.9038,5.6538086
839,2581.5823,5.1631656
840,2780.4019,5.5608044
841,2738.866,5.4777327
842,3103.1238,6.2062483
843,2722.7,5.4453993
844,2338.6245,4.6772494
845,2897.295,5.7945905
846,2448.9165,4.897834
847,2776.4917,5.5529838
848,2682.9333,5.365866
849,3162.9702,6.325941
850,2734.7495,5.469499
851,2430.3855,4.8607707
852,2727.5093,5.4550185
853,2716.9458,5.433893
854,2642.016,5.284033
855,3142.3237,6.284648
856,2343.671,4.6873417
857,2738.4917,5.4769826
858,2835.5002,5.6710005
859,2783.8042,5.5676084
860,2480.8057,4.9616113
861,2679.1343,5.3582687
862,2700.8716,5.4017425
863,2512.7183,5.025436
864,2604.0698,5.2081394
865,2596.1729,5.192345
866,2874.3867,5.7487736
867,2786.3584,5.5727177
868,2911.6777,5.8233557
869,2738.1113,5.4762225
870,2256.8848,4.51377
871,2758.3982,5.5167966
872,2554.4023,5.1088037
873,2655.5315,5.311063
874,2478.416,4.956832
875,2450.53,4.9010596
876,2687.6758,5.375353
877,2140.256,4.2805123
878,2315.6052,4.6312113
879,2550.3892,5.1007786
880,2265.1338,4.5302687
881,3089.128,6.178256
882,3418.1687,6.8363385
883,2634.0398,5.2680793
884,2386.419,4.7728395
885,2424.7886,4.8495765
886,2116.9775,4.2339554
887,2395.1274,4.790255
888,2354.3428,4.708685
889,2034.3378,4.0686755
890,2208.4363,4.416872
891,2350.3096,4.7006197
892,2414.5508,4.8291025
893,2277.1353,4.55427
894,2585.3162,5.170632
895,2977.585,5.95517
896,2700.0132,5.400027
897,2124.8582,4.2497163
898,2240.4575,4.4809146
899,2328.5068,4.6570134
900,1877.1239,3.7542481
901,2286.671,4.5733423
902,2769.8887,5.5397773
903,1833.25,3.6665006
904,2293.1846,4.586368
905,1953.0862,3.9061723
906,1879.9934,3.7599869
907,1898.9304,3.797861
908,2283.2368,4.5664735
909,1732.3817,3.4647632
910,2077.5996,4.155199
911,2202.022,4.4040446
912,2043.2372,4.086474
913,1903.9896,3.8079798
914,1988.383,3.976766
915,2240.3225,4.480644
916,1964.5242,3.9290478
917,2196.955,4.393908
918,2071.746,4.143492
919,2413.1377,4.8262753
920,1977.5604,3.9551206
921,2392.9016,4.7858033
922,2338.9429,4.677885
923,2163.6602,4.3273206
924,2439.1672,4.878335
925,1939.1589,3.8783176
926,2025.9465,4.0518937
927,2438.7622,4.877525
928,2569.274,5.1385474
929,1622.1082,3.2442172
930,2124.104,4.248208
931,2056.1938,4.1123877
932,2158.58,4.31716
933,2237.511,4.475022
934,2381.85,4.7637005
935,2225.7117,4.4514236
936,2423.2349,4.846471
937,2408.7075,4.817415
938,2406.2017,4.812404
939,2360.264,4.7205276
940,2685.8047,5.3716087
941,2651.691,5.303383
942,2341.9795,4.683959
